Date,Open,High,Low,Close,Volume
12/31/2015,"21,874","21,874","21,530","21,579","1,525,447"
12/30/2015,"21,677","22,070","21,579","21,776","2,290,275"
12/29/2015,"20,891","21,677","20,842","21,628","2,929,949"
12/28/2015,"21,038","21,137","20,891","20,891","878,002"
12/25/2015,"20,792","21,087","20,743","20,891","1,269,297"
12/24/2015,"20,940","21,038","20,743","20,743","464,431"
12/23/2015,"20,694","20,940","20,645","20,842","1,762,982"
12/22/2015,"20,989","21,087","20,792","20,891","1,185,683"
12/21/2015,"20,645","20,891","20,645","20,891","2,508,199"
12/18/2015,"21,382","21,677","20,252","20,252","6,419,822"
12/17/2015,"21,481","21,726","21,431","21,628","1,465,493"
12/16/2015,"21,382","21,726","21,284","21,382","1,348,984"
12/15/2015,"20,448","21,431","20,448","21,235","2,539,325"
12/14/2015,"20,399","20,596","20,252","20,448","1,330,735"
12/11/2015,"20,252","20,596","20,055","20,301","1,177,993"
12/10/2015,"20,350","20,547","20,153","20,252","826,003"
12/09/2015,"21,186","21,186","20,252","20,350","1,814,879"
12/08/2015,"20,055","21,235","19,662","21,186","1,906,732"
12/07/2015,"20,694","20,694","20,006","20,055","2,879,720"
12/04/2015,"21,087","21,087","20,694","20,792","984,401"
12/03/2015,"20,645","21,186","20,645","20,940","3,109,992"
12/02/2015,"20,694","20,989","20,645","20,743","3,635,475"
12/01/2015,"21,087","21,333","20,645","20,694","1,790,324"
11/30/2015,"21,726","21,776","21,087","21,087","1,988,860"
11/27/2015,"22,169","22,316","21,677","21,776","1,369,958"
11/26/2015,"22,513","22,611","22,316","22,316","571,745"
11/25/2015,"22,808","22,808","22,365","22,611","795,853"
11/24/2015,"22,955","22,955","22,611","22,710","819,249"
11/23/2015,"23,152","23,201","22,955","22,955","943,245"
11/20/2015,"23,103","23,250","23,103","23,103","545,339"
11/19/2015,"23,299","23,299","23,054","23,103","730,855"
11/18/2015,"23,103","23,349","23,103","23,201","615,566"
11/17/2015,"23,152","23,594","23,103","23,201","912,851"
11/16/2015,"23,152","23,398","23,054","23,152","868,623"
11/13/2015,"23,447","23,496","23,152","23,349","1,162,593"
11/12/2015,"23,349","23,447","22,955","23,398","1,790,141"
11/11/2015,"23,742","23,889","23,447","23,447","999,903"
11/10/2015,"24,086","24,135","23,742","23,742","1,248,119"
11/09/2015,"23,594","24,233","23,496","24,135","2,277,418"
11/06/2015,"23,545","23,840","23,250","23,594","1,693,243"
11/05/2015,"23,496","23,643","23,447","23,545","762,672"
11/04/2015,"23,742","23,988","23,693","23,693","1,904,087"
11/03/2015,"23,447","23,693","23,152","23,693","1,455,911"
11/02/2015,"23,447","23,840","23,398","23,447","2,783,981"
10/30/2015,"22,955","23,447","22,955","23,447","3,481,797"
10/29/2015,"22,710","22,955","22,611","22,955","1,542,332"
10/28/2015,"22,906","22,955","22,611","22,660","1,348,333"
10/27/2015,"22,906","23,054","22,808","22,906","805,517"
10/26/2015,"23,152","23,201","22,955","22,955","1,542,169"
10/23/2015,"22,906","23,152","22,857","23,054","1,546,747"
10/22/2015,"22,611","22,710","22,415","22,710","875,174"
10/21/2015,"22,316","22,906","22,316","22,415","1,351,364"
10/20/2015,"22,660","22,660","22,267","22,316","1,911,350"
10/19/2015,"22,955","22,955","22,611","22,611","1,774,171"
10/16/2015,"23,299","23,496","22,955","22,955","1,387,678"
10/15/2015,"23,299","23,398","23,152","23,299","1,026,187"
10/14/2015,"23,545","23,545","23,201","23,201","1,873,897"
10/13/2015,"23,496","23,594","23,349","23,545","1,502,539"
10/12/2015,"23,004","23,791","22,906","23,643","3,098,457"
10/09/2015,"23,349","23,349","22,857","22,857","1,446,553"
10/08/2015,"22,316","23,152","22,316","23,054","2,722,339"
