DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
4/26/2024,91700,93300,91200,91200,1763300
4/25/2024,90600,92900,90500,91000,1334700
4/24/2024,91000,91100,90100,90600,2190200
4/23/2024,90600,91200,89200,90100,1661900
4/22/2024,90500,91400,90200,90600,1064100
4/19/2024,90000,90900,89700,90500,1423800
4/17/2024,91200,92100,89500,90500,1609700
4/16/2024,93800,93800,90500,91000,1956700
4/15/2024,94600,96500,92000,92000,1965300
4/12/2024,94500,95500,93800,94600,943800
4/11/2024,94000,94600,93500,94000,823000
4/10/2024,94300,94600,94100,94500,856400
4/9/2024,95000,95400,94200,94300,814600
4/8/2024,94900,95300,94200,94900,960100
4/5/2024,94800,95600,94200,94900,824400
4/4/2024,94900,96000,94400,96000,2141700
4/3/2024,94400,94800,93800,93800,1549100
4/2/2024,95100,95200,93900,94500,1133000
4/1/2024,94900,96000,94700,95200,1221000
3/29/2024,95900,95900,94900,94900,965200
3/28/2024,96200,96400,95600,95700,1232900
3/27/2024,96200,96200,95600,95800,1260000
3/26/2024,96000,96600,95800,96300,735400
3/25/2024,95000,96900,94100,95700,1582600
3/22/2024,95200,96800,95200,96400,1889000
3/21/2024,94000,95500,94000,95200,1694100
3/20/2024,92500,94100,92500,93200,970900
3/19/2024,92500,93500,92500,92500,1060100
3/18/2024,94300,94500,92500,93000,1867500
3/15/2024,95000,95000,93900,94000,2466500
3/14/2024,96000,96100,94600,95000,2347601
3/13/2024,94900,96500,94300,96000,3288500
3/12/2024,94100,94900,94000,94400,1135300
3/11/2024,95100,96000,94100,94100,2004000
3/8/2024,95900,96500,95100,95100,2327900
3/7/2024,95900,97400,95500,95800,2506300
3/6/2024,95500,96800,95100,95600,2070600
3/5/2024,96600,96600,95200,95500,1434800
3/4/2024,98000,98000,95600,96000,1734400
3/1/2024,98200,98200,94900,97300,2423600
2/29/2024,98500,100500,97300,97300,1991000
2/28/2024,91000,97400,90400,97400,4333900
2/27/2024,89600,91200,89100,91100,1698900
2/26/2024,88900,90000,88900,89500,792000
2/23/2024,89500,91400,88900,88900,1894900
2/22/2024,90600,91000,89500,89500,1293900
2/21/2024,91700,91700,90500,91200,1461400
2/20/2024,90100,91400,89400,91300,1520300
2/19/2024,89900,90500,89300,90200,1139300
2/16/2024,89900,90200,89500,89600,801600
2/15/2024,90000,90700,89100,89900,1140700
2/7/2024,90000,90800,89300,90000,1441400
2/6/2024,90300,90600,89100,89500,1426300
2/5/2024,90200,90600,89400,90000,2019000
